Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,SAMSUNG BD-D5100/XL,Accessories,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY 3D BD DISC- Cloudy,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY 3D BD DISC- Imax Deep Sea,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY 3D BD DISE- DEMO DISC,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY 3D MOVIES,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY BCG34HH4KN/CEU8,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY BCG34HW2RN,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY BLURAY-DISC,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY CMU-BR100,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY DLC-HE15BD/CE,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY HDMICABLE,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY HDMISPLITTER,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY LCSBDG,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY LCSBDM/BC,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY LCSCSJ//C AE,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY LCSDL1,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY LCSDS1,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY LCSTWE/BC,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY LCSU10,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY MII-HD1,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY Mini HDMI Cable for DSC,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY MS-HX8B/T1 ET4,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY MSMT4G,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,Sony NPFG1,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY PCK-L30WCSB,Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,SONY PS3160GB(3D LCD Bundle),Sony,Accessories,Accessories,0,Y,N,CE,,,,,,,
