Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Formulation,Pack Type
4000D,400000656,HBM - R8,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000682,HBM - Y14,All Purpose,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000700,HBM - SG-01,Three In One,,,0,N,Y,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000699,HBM - I-01,Institution,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000719,HBM - GT-98 Tin,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000747,HBM Gold - GG03,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000748,HBM Gold - RG03,Puffs & Kharis,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000774,HBM - I-99,Institution,,,0,Y,N,Specialty Fats,Case,Ltr,16.71,BP,MT,1114.21,0,yes,
4000D,400000753,HBM - G11 (20kg),Biscuits & Cookies,,,0,N,Y,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
4000D,400000754,HBM 20KG G-13,Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
4000D,400000756,HBM - G14 (20kg),Biscuits & Cookies,,,0,Y,N,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
4000D,400000757,HBM - R6 (20kg),Puffs & Kharis,,,0,N,Y,Specialty Fats,Case,Ltr,22.28,BP,MT,1114.21,0,yes,
