Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9213,400000349,,,1020.6,Specialty Fats
9213,400000350,,,997.4,Specialty Fats
9213,400000352,,,980.16,Specialty Fats
9213,400000353,,,981.2,Specialty Fats
9213,400000354,,,956.97,Specialty Fats
9213,400000355,,,956.97,Specialty Fats
9213,400000427,,,1023.17,Specialty Fats
9213,400000413,,,0,Specialty Fats
9213,400000414,,,762.15,Specialty Fats
9213,400000528,,,986.48,Specialty Fats
9213,400000598,,,997.88,Specialty Fats
9213,400000621,,,984.79,Specialty Fats
9213,400000631,,,981.2,Specialty Fats
9213,400000656,,,1018.79,Specialty Fats
9213,400000682,,,911.08,Specialty Fats
9213,400000699,,,1017.53,Specialty Fats
9213,400000719,,,942.02,Specialty Fats
9213,400000747,,,1046.3,Specialty Fats
9213,400000748,,,1039.18,Specialty Fats
9213,400000774,,,1024.45,Specialty Fats
9213,400000753,,,0,Specialty Fats
9213,400000754,,,1271.03,Specialty Fats
9213,400000756,,,1325.86,Specialty Fats
9213,400000778,,,1042.65,Specialty Fats
9213,400000783,,,1105.33,Specialty Fats
9213,400000787,,,1008.35,Specialty Fats
9213,400000810,,,1403.48,Specialty Fats
9213,400000821,,,1036.83,Specialty Fats
9213,400000822,,,1005.58,Specialty Fats
9213,400000827,,,1025.86,Specialty Fats
9213,400000860,,,967.91,Specialty Fats
9205,400000347,,,832.21,Specialty Fats
9205,400000348,,,872.56,Specialty Fats
9205,400000349,,,990.4,Specialty Fats
9205,400000350,,,967.2,Specialty Fats
9205,400000352,,,949.96,Specialty Fats
9205,400000353,,,951,Specialty Fats
9205,400000354,,,926.77,Specialty Fats
9205,400000355,,,926.77,Specialty Fats
9205,400000427,,,992.97,Specialty Fats
9205,400000413,,,0,Specialty Fats
9205,400000528,,,956.28,Specialty Fats
9205,400000598,,,967.68,Specialty Fats
9205,400000621,,,954.59,Specialty Fats
9205,400000631,,,951,Specialty Fats
9205,400000656,,,988.59,Specialty Fats
9205,400000682,,,880.88,Specialty Fats
9205,400000699,,,987.33,Specialty Fats
9205,400000719,,,911.82,Specialty Fats
9205,400000747,,,1016.1,Specialty Fats
9205,400000748,,,1008.98,Specialty Fats
9205,400000774,,,994.25,Specialty Fats
9205,400000753,,,0,Specialty Fats
9205,400000754,,,1230.76,Specialty Fats
9205,400000778,,,1012.45,Specialty Fats
9205,400000787,,,978.15,Specialty Fats
9205,400000810,,,1363.21,Specialty Fats
9205,400000821,,,1006.63,Specialty Fats
9205,400000822,,,975.38,Specialty Fats
9205,400000827,,,995.66,Specialty Fats
9407B,400000348,,,0,Specialty Fats
9407B,400000349,,,0,Specialty Fats
9407B,400000350,,,0,Specialty Fats
9407B,400000352,,,0,Specialty Fats
9407B,400000353,,,0,Specialty Fats
9407B,400000354,,,0,Specialty Fats
9407B,400000355,,,0,Specialty Fats
9407B,400000427,,,0,Specialty Fats
9407B,400000598,,,0,Specialty Fats
9407B,400000621,,,0,Specialty Fats
9407B,400000631,,,0,Specialty Fats
9407B,400000682,,,0,Specialty Fats
9407B,400000699,,,0,Specialty Fats
9407B,400000747,,,0,Specialty Fats
9407B,400000748,,,0,Specialty Fats
9407B,400000774,,,0,Specialty Fats
9407B,400000753,,,0,Specialty Fats
9407B,400000754,,,0,Specialty Fats
9211,400000350,,,1003.27,Specialty Fats
9211,400000353,,,987.07,Specialty Fats
9211,400000355,,,962.84,Specialty Fats
9211,400000347,,,868.28,Specialty Fats
9211,400000348,,,908.63,Specialty Fats
9211,400000349,,,1026.47,Specialty Fats
9211,400000350,,,0,Specialty Fats
9211,400000352,,,986.03,Specialty Fats
9211,400000353,,,0,Specialty Fats
9211,400000354,,,962.84,Specialty Fats
9211,400000355,,,0,Specialty Fats
9211,400000427,,,1026.59,Specialty Fats
9211,400000413,,,0,Specialty Fats
9211,400000414,,,768.02,Specialty Fats
9211,400000528,,,992.35,Specialty Fats
9211,400000598,,,1003.75,Specialty Fats
9211,400000621,,,990.66,Specialty Fats
9211,400000631,,,987.07,Specialty Fats
9211,400000656,,,1024.66,Specialty Fats
9211,400000682,,,916.95,Specialty Fats
9211,400000699,,,1023.4,Specialty Fats
9211,400000719,,,947.89,Specialty Fats
9211,400000747,,,1052.17,Specialty Fats
9211,400000748,,,1045.05,Specialty Fats
9211,400000774,,,1030.32,Specialty Fats
9211,400000753,,,0,Specialty Fats
9211,400000754,,,1278.85,Specialty Fats
9211,400000756,,,1333.68,Specialty Fats
9211,400000778,,,1048.52,Specialty Fats
9211,400000783,,,1111.2,Specialty Fats
9211,400000787,,,1014.22,Specialty Fats
9211,400000810,,,1411.3,Specialty Fats
9211,400000821,,,1042.7,Specialty Fats
9211,400000822,,,1011.45,Specialty Fats
9211,400000827,,,1031.73,Specialty Fats
9211,400000753,,,1333.92,Specialty Fats
9211,400000706,,,0,Specialty Fats
9211,400000860,,,973.78,Specialty Fats
9206,400000348,,,0,Specialty Fats
9206,400000349,,,0,Specialty Fats
9206,400000350,,,0,Specialty Fats
9206,400000352,,,0,Specialty Fats
9206,400000353,,,0,Specialty Fats
9206,400000354,,,0,Specialty Fats
9206,400000355,,,0,Specialty Fats
9206,400000427,,,0,Specialty Fats
9206,400000598,,,0,Specialty Fats
9206,400000621,,,0,Specialty Fats
9206,400000631,,,0,Specialty Fats
9206,400000656,,,0,Specialty Fats
9206,400000682,,,0,Specialty Fats
9206,400000699,,,0,Specialty Fats
9206,400000719,,,0,Specialty Fats
9206,400000747,,,0,Specialty Fats
9206,400000748,,,0,Specialty Fats
9206,400000774,,,0,Specialty Fats
9206,400000753,,,0,Specialty Fats
9206,400000754,,,0,Specialty Fats
9215,400000348,,,0,Specialty Fats
9215,400000349,,,0,Specialty Fats
9215,400000350,,,0,Specialty Fats
9215,400000352,,,0,Specialty Fats
9215,400000353,,,0,Specialty Fats
9215,400000354,,,0,Specialty Fats
9215,400000355,,,0,Specialty Fats
9215,400000427,,,0,Specialty Fats
9215,400000598,,,0,Specialty Fats
9215,400000621,,,0,Specialty Fats
9215,400000631,,,0,Specialty Fats
9215,400000656,,,0,Specialty Fats
9215,400000682,,,0,Specialty Fats
9215,400000699,,,0,Specialty Fats
9215,400000719,,,0,Specialty Fats
9215,400000747,,,0,Specialty Fats
9215,400000748,,,0,Specialty Fats
9215,400000774,,,0,Specialty Fats
9215,400000753,,,0,Specialty Fats
9215,400000754,,,0,Specialty Fats
