Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,FG0506,Cheep's (Classic Salted) |13 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),CHEEPS,,0,Y,N,,Pcs.,Case,,,,,0
,FG0507,Cheep's (Cream & Onion) |13 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),CHEEPS,,0,Y,N,,Pcs.,Case,,,,,0
,FG0508,Cheep's (Masala Masti) |13 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),CHEEPS,,0,Y,N,,Pcs.,Case,,,,,0
,FG0509,LACHHA (MITHA) Dry fruit Board Tray (with Honey & Elaichi Kesar) |500 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0510,LACHHA (MITHA) Dry fruit Board Tray (with Honey & Elaichi Kesar) |1000 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0511,LACHHA MILK (MITHA) Dry fruit Board Tray |500 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0512,LACHHA MILK (MITHA) Dry fruit Board Tray |1000 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0513,Pj Khajur Barfi |300 Gms.,(LACHHA PACKS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0514,Mysore Pak |300 Gms.,Category I (PACKED SWEETS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0516,LACHHA (MITHA) Chhatri |500 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0517,LACHHA MILK (MITHA) Board Tray |1000 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0518,Kesar Lachha Tin |650 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0549,Atoot Sneh |1736 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0533,Assorted Mazza Box |1000 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0541,Sweet & Salty mazza |1025 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0540,Channa Dal Fried |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0525,Bindaaz Mazza Box |475 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0543,Soan Papdi( Premium) Box |900 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0534,Khatta Mitha |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0535,Dry Fruits Mazza Box |200 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0536,Raita Boondi |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0545,Tea Time snacks Box |1070 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0530,Fundaaz Mazza Box |875 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0548,PJ Alu Bhujia |17 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
