Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Formulation,Pack Type
9412,400000430,Blend 15 ltr Tin,Blend,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,0,no,TIN
9412,400000356,Bake Magic,Bake Magic,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,10,no,Bakery
9412,400000456,Rasoi  500 ml Pouch,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16,CP,MT,1114.21,0,no,Pouch
9412,400000457,Rasoi  200 ml Pouch,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16,CP,MT,1114.21,0,no,Pouch
9412,400000395,Rasoi 15 ltr Jar (Yellow),Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9101,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9407A,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9113,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9120,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9412,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9101,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9407A,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9113,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9120,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9412,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9110,400000530,Soyabean LUP Rs 10/- (90ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10.8,CP,MT,1098.9,5,no,
9117,400000530,Soyabean LUP Rs 10/- (90ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10.8,CP,MT,1098.9,5,no,
9112,400000480,Soyabean LUP Rs 10/- (100ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,
9112,400000530,Soyabean LUP Rs 10/- (90ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10.8,CP,MT,1098.9,5,no,
9106,400000480,Soyabean LUP Rs 10/- (100ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,
