Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9203,400000774,,,1108.35,Specialty Fats
9203,400000753,,,1410.73,Specialty Fats
9203,400000754,,,1373.93,Specialty Fats
9203,400000756,,,0,Specialty Fats
9203,400000757,,,0,Specialty Fats
9203,400000758,,,0,Specialty Fats
9203,400000778,,,1139.54,Specialty Fats
9203,400000783,,,0,Specialty Fats
9203,400000787,,,1085.97,Specialty Fats
9203,400000810,,,1565.93,Specialty Fats
9203,400000821,,,1204.12,Specialty Fats
9203,400000822,,,1209.58,Specialty Fats
9203,400000827,,,1091.93,Specialty Fats
9208,400000347,,,0,Specialty Fats
9208,400000348,,,0,Specialty Fats
9208,400000349,,,0,Specialty Fats
9208,400000350,,,0,Specialty Fats
9208,400000352,,,0,Specialty Fats
9208,400000353,,,0,Specialty Fats
9208,400000354,,,0,Specialty Fats
9208,400000355,,,0,Specialty Fats
9208,400000389,,,0,Specialty Fats
9208,400000390,,,0,Specialty Fats
9208,400000428,,,0,Specialty Fats
9208,400000412,,,0,Specialty Fats
9208,400000411,,,0,Specialty Fats
9208,400000427,,,0,Specialty Fats
9208,400000413,,,0,Specialty Fats
9208,400000414,,,0,Specialty Fats
9208,400000545,,,0,Specialty Fats
9208,400000528,,,0,Specialty Fats
9208,400000347,,,0,Specialty Fats
9208,400000348,,,943.37,Specialty Fats
9208,400000349,,,1155.1,Specialty Fats
9208,400000350,,,1086.76,Specialty Fats
9208,400000352,,,1032.3,Specialty Fats
9208,400000353,,,1051.86,Specialty Fats
9208,400000354,,,1051.38,Specialty Fats
9208,400000355,,,1051.38,Specialty Fats
9208,400000389,,,0,Specialty Fats
9208,400000428,,,0,Specialty Fats
9208,400000412,,,0,Specialty Fats
9208,400000411,,,0,Specialty Fats
9208,400000427,,,1143.76,Specialty Fats
9208,400000413,,,0,Specialty Fats
9208,400000414,,,0,Specialty Fats
9208,400000545,,,0,Specialty Fats
9208,400000528,,,1098.08,Specialty Fats
