Customer Code,Product Desc,April,April Achv.,April prev year,April prev year Achv.,May,May Achv.,May prev year,May prev year Achv.,June,June Achv.,June prev year,June prev year Achv.,July,July Achv.,July prev year,July prev year Achv.,August,August Achv.,August prev year,August prev year Achv.,September,September Achv.,September prev year,September prev year Achv.,October,October Achv new,October  prev year,October prev year Achv.,November,November Achv.,November  prev year,November prev year Achv.,December,December Achv.,December  prev year,December prev year Achv.,January,January Achv.,January  prev year,January prev year Achv.,February,February Achv.,February  prev year,February prev year Achv.,March,March Achv.,March prev year,March prev year Achv.
WBM016,F000000001,51,0,21,21,60,16,20,20,50,16,31,21,50,0,21,13,50,0,31,10,50,0,21,10,50,0,31,16,50,0,31,8,50,0,51,0,50,0,60,16,50,0,51,0,50,0,60,21
WBR005,F000000001,360,355.5,195,195,251,215.95,481.75,481.75,200,184.5,61,149,121,301.1,101,172,215,72,101,53,150,101,212,103,351,157,212,115,301,0,212,135,301,0,212,103,301,0,212,169,251,0,212,151,301,0,212,360
R230,F000000001,401,309.5,246,246,401,122,356,356,201,155,151,213,121,219,100,110,251,231.1,100,42,200,54.95,180,79,251,64,220,151.2,251,0,150,201,251,0,250,196,251,0,300,15,251,0,250,228,301,0,250,399
WBT019,F000000001,51,0,21,21,50,0,37,37,50,16,31,8,50,0,31,8,50,0,31,0,50,0,31,0,50,0,31,0,72,0,31,32,101,0,31,32,101,0,31,21,101,0,31,0,141,0,35,16
WBS044,F000000001,201,209,259.25,259.25,251,242.55,379.5,379.5,151,251,151,82,121,251.75,151,150,201,222,200,159,150,201.5,171,129.9,151,201,251,205,151,0,265,141,151,0,300,127,151,0,270,175,151,0,300,235,201,0,300,285.1
WBB043,F000000001,51,15,15,15,51,0,15,15,50,74,15,15,0,0,31,25,50,0,35,15,50,0,31,31,50,0,31,21,50,0,31,0,50,0,51,0,50,0,31,16,50,0,35,0,50,0,51,35
WBM103,F000000001,400,155.9,332,332,301,101,526,526,151,0,200,319,101,21,150,271,141,0,100,101,151,0,200,311,250,0,200,225,301,0,250,127,301,0,350,203,301,0,350,208,251,0,300,201,301,0,350,167
WBM144,F000000001,151,66,0,0,151,32,0,0,101,53,31,7,121,0,31,21,121,0,20,0,121,0,31,0,151,32,41,16,201,0,40,64,201,0,41,16,201,0,31,32,201,0,51,48,251,0,55,131
WBR065,F000000001,151,112.45,141,141,161,20,164,164,101,70,46,52,101,64.45,51,125,151,16,71,41,147,15.5,101,36,151,0,121,53,151,0,121,52,151,0,121,47,151,0,121,81.6,151,0,121,68,171,0,121,109
WBM187,F000000001,40,0,31,31,50,0,32,32,51,9,32,16,51,0,32,12,51,0,32,16,51,0,32,16,51,0,32,16,50,0,32,16,50,0,32,0,50,0,32,0,50,0,32,0,50,0,32,9
WBS169,F000000001,20,16,0,0,50,32,16,16,50,32,31,0,50,25,21,7,50,0,36,0,50,0,40,0,32,0,21,0,50,0,31,8,50,0,51,0,50,0,41,16,50,0,31,16,50,0,51,20
WBR087,F000000001,100,32,148,148,151,32,147.5,147.5,101,56,131,129,101,33.5,161,16,121,42.5,61,29.4,70,62,161,73,100,32,151,79,151,0,150,74,151,0,301,89,151,0,301,97,151,0,211,21,171,0,251,35
WBS194,F000000001,50,5,76,76,50,0,52,52,44,0,51,20,0,0,61,23,50,0,53,0,50,0,61,16,30,0,61,16,50,0,61,16,50,0,61,30,50,0,61,31,50,0,61,40,50,0,61,16
WBS197,F000000001,50,10,10,10,50,20,25,25,50,5,31,10,50,15,31,10,50,10,31,5,50,5,31,0,21,0,31,5,50,0,31,0,50,0,31,5,50,0,41,0,50,0,48,18,50,0,41,17
WBS198,F000000001,50,0,72,72,50,0,69,69,90,0,60,16,50,0,70,16,50,0,48,0,50,0,90,0,21,0,100,16,50,0,94,16,50,0,121,0,50,0,131,16,50,0,150,16,50,0,180,0
WBA087,F000000001,151,112,0,0,151,155,0,0,151,197,0,0,101,155,0,0,151,151.1,0,0,80,107.45,0,0,101,128.1,0,0,101,0,0,0,101,0,0,0,101,0,0,0,101,0,0,0,151,0,0,30
